"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"Maison des Jeunes de RULINDO","1318","1/1/1900","SHYORONGI","Rutongo Sub District","Rulindo District","North","Rulindo District","VCT center","Private",""
"Makera HP","1930","1/1/2017","Cyeza","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-2.041221 29.762946"
"Mamfu HP","1506","1/1/1900","Muhura","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"MAMWARI HP","1994","1/1/2017","Mbazi (Nyamagabe District)","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.346528 29.58207"
"Manji HP","1886","1/1/2017","Mutuntu","Kibuye Sub District","Karongi District","West","Karongi District","Health Post","Private","-2.280879 29.387204"
"Manyagiro CS","340","1/1/2011","Manyagiro","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.5185 30.0015"
"Maraba (huye) CS","616","1/1/2011","Maraba","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.52288 29.6351"
"Maraba (nyaruguru) CS","71","1/1/2011","Nyagisozi (Nyaruguru District)","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Public","-2.7374 29.6456"
"Mareba CS","450","1/1/2011","Mareba","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Public","-2.2478 30.0702"
"MAREMBO (KINIHIRA) HP","2100","1/1/2017","KINIHIRA (Rulindo)","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Post","Public","-1.665292 29.931972"
"Marembo (NGAMBA) HP","1870","1/1/2017","Ngamba","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-1.861486 29.880283"
"Marembo CS","517","9/1/2014","CYUNGO","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.620544 29.909253"
"Mariba PS","1308","1/1/1900","Gitovu","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.491598 29.797552"
"Masaka CS","36","1/1/2011","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Agree","-1.9956 30.1913"
"Masaka DH","1234","1/1/2011","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","District Hospital","Public","-1.99563 30.1913"
"Masaka Poste secondaire","1904","1/1/2017","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Post level 2","Public","-1.997478 30.193814"
"Masangano HP","1931","1/1/2017","Nyabinoni","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-1.735702 29.668615"
"Mashesha CS","243","1/1/2011","Gitambi","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.5968 29.0073"
"Masoro CS","275","1/1/2011","MASORO","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.8208 30.0602"
"Mata CS","1648","7/2/2015","Muhanga","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","",""
"MATABA (GIHANGO) HP","2129","1/1/2017","Gihango","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.937883 29.411456"
"Mataba (MACUBA) HP","2015","1/1/2017","Macuba","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.335404 29.200029"
"Mataba CS","294","1/1/2011","Mataba","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.7198 29.7436"
"Mataba HP","1507","1/1/1900","Nyamiyaga (Gicumbi  District)","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public",""
"Matimba CS","373","1/1/2011","MATIMBA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Agree","-1.1262 30.4261"
"MATIMBA Poste secondaire","1984","1/1/2017","MATIMBA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post level 2","Public","-1.123166 30.423339"
"Matyazo CS","88","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Health Center","Agree","-2.5975 29.7204"
"Matyazo Poste secondaire","1851","1/1/2017","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Post level 2","Public","-2.593364 29.715615"
"Mayange (bugesera) CS","451","1/1/2011","Mayange","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Public","-2.2067 30.1446"
"Mayange (Gatsibo) HP","2158","6/12/2012","Nyagihanga","Ngarama Sub District","Gatsibo District","East","Gatsibo District","Health Post","",""
"Mayange (gatsibo) PS","607","1/1/2011","Nyagihanga","Ngarama Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public",""
"Mazane HP","1724","1/1/2017","Rweru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.308012 30.338882"
"MAZIBA HP","2130","1/1/2017","Mushonyi","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-1.855735 29.296494"
"MBALE HP","1985","1/1/2017","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Private","-1.36359 30.363936"
"Mbandazi HP","1508","1/1/1900","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public",""
"MBASA HP","2059","1/1/2017","Kibeho","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.620095 29.592025"
"Mbazi CS","89","1/1/2011","Mbazi","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.551 29.7459"
"Mbogo PS","608","1/1/2011","Kiziguro","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public",""
"Mbuga CS","105","1/1/2011","Tare","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Agree","-2.497 29.4807"
"Mbuye CS","121","1/1/2011","Mbuye","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Center","Public","-2.1312 29.8479"
"Mbwe PS","1625","1/1/1970","Gashaki","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","",""
"Mediheal Clin","1678","9/18/2014","Kimihurura","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Medilabs Clin","2154","1/2/2018","Tumba","Kabutare Sub District","Huye District","South","Huye District","Medical Clinic","Private",""
"Mibilizi CS","244","1/1/2011","Gashonga","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.568022 28.954288"
"Mibilizi DH","245","1/1/2011","Gashonga","Mibilizi Sub District","Rusizi District","West","Rusizi District","District Hospital","Agree","-2.5676 28.9537"
"MIKO HP","2112","1/1/2017","Mururu","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.526462 28.943461"
"Mimuri CS","374","1/1/2011","MIMURI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.4478 30.2521"
"Minas Medical Centre","1548","6/11/2014","Gisozi","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Minazi CS","1651","12/3/2015","Minazi","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","",""
"Ministry of Health - Head Offi","1335","1/1/1900","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Administrative Office","","-1.969294 30.099631"
"Ministry of Health - Kicukiro","1336","1/1/1900","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Administrative Office","","-1.96791 30.092804"
"Mishenyi HP","1509","1/1/1900","RWEMPASHA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public",""
"Miyove CS","341","1/1/2011","Miyove","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.616 29.9791"
"Mizero DISP","1186","1/1/1970","Kigali","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.943042 30.039672"
"Mont Cyangugu CS","1403","1/1/1900","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Center","Agree",""
"Mont Nyamagumba CLIN","1449","1/1/1900","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Medical Clinic","Private",""
"MPANDA HP","2092","1/1/2017","Byimana","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Post","Public","-2.123359 29.727521"
"Mpare HP","1852","1/1/2017","Tumba","Kabutare Sub District","Huye District","South","Huye District","Health Post","Public","-2.622949 29.720849"
"Mpembe CS","166","1/1/2011","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.1178 29.2655"
"Mpore Liberte (Gasabo) CLIN","1134","8/1/2000","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.960208 30.109379"
"Mpore Liberte (Musanze) CLIN","1441","9/19/2013","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Medical Clinic","Private",""
"MPUMBU HP","2016","1/1/2017","Bushekeri","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.399918 29.109306"
"Mpushi HP","1871","1/1/2017","Musambira","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-2.008748 29.822402"
"Mubeho DISP","1510","1/1/1900","TABAGWE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Mubuga CS","167","1/1/2011","Mubuga","Mugonero Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.133 29.3142"
"Mubuga HP","1914","1/1/2017","Musaza","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.313347 30.647144"
"Mucaca CS","328","1/1/2011","Rugengabari","Butaro Sub District","Burera District","North","Burera District","Health Center","Public","-1.3876 29.6687"
"Mucubira CS","43","1/1/2011","Cyabakamyi","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Public","-2.2956 29.6425"
"Mudende CS","202","1/1/2011","Mudende","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.6043 29.3768"
"Mugano CS","562","1/1/2011","Mugano","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Public","-2.26444 29.5085"
"Muganza (Byiza) HP","1837","1/1/2017","Muganza","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Post","Public","-2.650577 29.867926"
"Muganza CS","72","1/1/2011","Muganza (Nyaruguru District)","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Agree","-2.6881 29.4942"
"Mugari PS","1628","1/1/1970","Shingiro","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","",""
"Mugera CS","263","1/1/2011","Shangi","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Public","-2.39034 29.03505"
"MUGERA HP","2017","1/1/2017","Shangi","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.380103 29.043914"
"Mugina CS","149","1/1/2011","Mugina","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public","-2.108 29.9465"
"Mugire Ubuzima DISP","1405","1899-12-31","Bushekeri","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Dispensary","Private",""
"Mugombwa CS","64","1/1/2011","Mugombwa","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Center","Agree","-2.679 29.8601"
"Mugonero CS","168","1/1/1900","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.18215 29.29287"
"Mugonero DH","169","1/1/2011","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","District Hospital","Agree","-2.1808 29.2927"
"Mugororore HP","1699","1/1/2017","Juru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.128783 30.24127"
"Mugunga PS","520","1/1/2011","Mugunga","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.697157 29.648244"
"Muhambo CS","375","1/1/2011","MUKAMA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.442 30.1646"
"Muhanga DP","1088","1/1/1900","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","District Pharmacy","Public","-2.076762 29.75792"
"Muhanga Youth Friendly Center","1309","1/1/1900","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","VCT center","Private","-2.077903 29.75844"
"MUHARI HP","2113","1/1/2017","Gihundwe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.448996 28.9086"
"MUHEHWE HP","2114","1/1/2017","Rwimbogo","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.638948 28.975531"
"Muhima CS","7","1/1/2011","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Public","-1.9367 30.05857"
"Muhima DH","8","1/1/2011","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","District Hospital","Public","-1.9367 30.0585"
"Muhima DISP","1192","1/1/1970","Muhima","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.944938 30.059129"
"Muhondo (gakenke) CS","295","1/1/2011","Muhondo","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.8 29.8954"
"Muhondo (kageyo) CS","342","1/1/2011","Kageyo","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.628 30.0857"
"Muhororo CS","226","1/1/2011","GATUMBA","Muhororo Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.9335 29.6268"
"Muhororo DH","227","1/1/2011","MUHORORO","Muhororo Sub District","Ngororero District","West","Ngororero District","District Hospital","Public","-1.9349 29.6253"
"Muhororo HP","1853","1/1/2017","Ruhashya","Kabutare Sub District","Huye District","South","Huye District","Health Post","Public","-2.515943 29.769206"
"Muhotora HP","1746","1/1/2017","Butaro","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.432418 29.86539"
"Muhoza (Ruhengeri) CS","316","1/1/2011","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public","-1.5 29.6366"
"Muhura CS","396","1/1/2011","Muhura","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Agree","-1.7587 30.292"
"Muhura Poste secondare","2142","1/1/2016","Muhura","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post level 2","Public","-1.729006 30.264151"
"Muhurire PS","626","1/1/2011","Rurenge","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post","Public",""
"Mujwiri HP","1725","1/1/2017","Rweru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.278274 30.294633"
"Mukaka HP","1823","1/1/2017","Miyove","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public","-1.622425 29.968169"
"Mukarange (Gicumbi) CS","1655","2/3/2016","Mukarange","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","",""
"Mukarange CS","409","1/1/2011","Mukarange (Kayonza District)","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-1.9014 30.4971"
"Muko CS","343","1/1/2011","Muko (Gicumbi  District)","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.697 30.2282"
"Mukoma (nyamasheke) CS","264","1/1/2011","Nyabitekeri","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Agree","-2.3632 29.0115"
"Mukoma (ruhango) CS","122","1/1/2011","Kinazi (Ruhango  District)","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Center","Agree","-2.2014 29.9458"
"Mukoma HP","1708","1/1/2017","Ngeruka","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Public","-2.260279 30.118422"
"Mukomacara HP","1838","1/1/2017","Mugombwa","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Post","Public","-2.730604 29.829995"
"MUKONDO HP","2079","1/1/2017","Nyundo","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Agree","-1.718065 29.342524"
"Mukono CS","344","1/1/2011","Bwisige","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.5636 30.1084"
"Mukungu CS","170","1/1/2011","Mutuntu","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.2405 29.4182"
"Mukura (Huye) CS","1557","9/1/2014","Mukura","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.665 29.7284"
"Mukura (Rutsiro) CS","188","1/1/2011","Mukura (Rutsiro  District)","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Public","-2.0084 29.4869"
"Mukuyu HP","1794","1/1/2017","Ndera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.912717 30.201431"
"Mulindi (gicumbi) CS","345","1/1/2011","Kaniga","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.478 30.0428"
"Mulindi (kirehe) CS","425","1/1/2011","Nasho","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Agree","-2.103 30.6922"
"MUMENA HP","2048","1/1/2017","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Post","Public","-1.979862 30.059444"
"Mumura DISP","1627","1/1/1970","MATIMBA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"Munanira CS","1310","1/1/1900","Kabagali","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Center","Public","-2.212423 29.609739"
"Munanira PS","2150","1/1/2018","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Post","","-2.13416 29.26064"
"Munazi Poste secondaire","1839","1/1/2017","Save","Gakoma Sub District","Gisagara District","South","Gisagara District","Health Post level 2","Public","-2.549654 29.79496"
"Munini (nyaruguru) CS","73","1/1/2011","Munini","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Public","-2.7137 29.5355"
"Munini DH","74","1/1/2011","Munini","Munini Sub District","Nyaruguru District","South","Nyaruguru District","District Hospital","Public","-2.71341 29.5355"
"Munini HP","1915","1/1/2017","Mahama","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.305386 30.831738"
"Munyaga CS","356","1/1/2011","Munyaga","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Agree","-2.0275 30.4661"
"MUNYIGINYA HP","2135","1/1/2017","Munyiginya","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Post","Public","-1.91712 30.384293"
"Munyinya CS","346","1/1/2011","Rukomo","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.6446 30.1354"
"Munzanga CS","171","1/1/2011","Murundi","Kirinda Sub District","Karongi District","West","Karongi District","Health Center","Public","-2.114 29.5835"
"Murakabaho DISP","1603","1/1/1970","Kimironko","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Murakamaho DISP","1187","1/1/1970","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.950691 30.116586"
"MURAMA (RUGERA) HP","1974","1/1/2017","Rugera","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.602865 29.604125"
"Murama HP","1715","1/1/2017","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.146727 30.144345"
"Muramba CS","228","1/1/2011","HINDIRO","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.7706 29.6125"
"MURAMBI (CYATO) HP","2018","1/1/2017","Cyato","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.392155 29.191728"
"Murambi (MINAZI) HP","1774","1/1/2017","Minazi","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.760635 29.77017"
"MURAMBI (MUKURA) HP","2131","1/1/2017","Mukura (Rutsiro  District)","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Post","Public","-2.042072 29.519882"
"Murambi (rwamagana) CS","585","1/1/2011","Muhazi","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.87554 30.45568"
"Murambi CS","276","1/1/2011","MURAMBI","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.7927 30.044"
"Murandi CS","314","1/1/2011","Remera (Musanze  District)","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public","-1.547 29.7293"
"Murara CS","203","1/1/2011","Rubavu","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.6724 29.2559"
"Murehe PS","653","1/1/2011","Muyumbu","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Post","Public",""
"Muremera (ruhango) PS","649","1/1/2011","Kabagali","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Post","Public",""
"Muremure CS","123","1/1/2011","Kinihira (Ruhango)","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Center","Public","-2.1546 29.62"
"MURINGA HP","1975","1/1/2017","Muringa","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.711176 29.531042"
"Murunda CS","189","1/1/2011","Murunda","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-1.9152 29.3767"
"Murunda DH","190","1/1/2011","Murunda","Murunda Sub District","Rutsiro District","West","Rutsiro District","District Hospital","Agree","-1.9068 29.3761"
"Musagara HP","1775","1/1/2017","Muhondo","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.827742 29.873386"
"Musambira CS","150","1/1/2011","Musambira","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public","-2.048 29.8441"
"Musange HP","1932","1/1/2017","Mushishiro","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-2.0169 29.650634"
"Musango CS","172","1/1/2011","Rwankuba","Kibuye Sub District","Karongi District","West","Karongi District","Health Center","Agree","-2.1742 29.4362"
"Musanze CS","1475","6/16/2014","Musanze","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public",""
"Musanze DP","1100","1/1/2011","Muhoza","Ruhengeri Sub District","Musanze District","North","Musanze District","District Pharmacy","Public",""
"Musasa CS","191","1/1/2011","Musasa","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Public","-1.962 29.3487"
"Musave HP","1795","1/1/2017","Bumbogo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.926037 30.158092"
"Musaza CS","426","1/1/2011","Musaza","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public","-2.331 30.6285"
"Musaza HP","1888","1/1/2017","Gishyita","Mugonero Sub District","Karongi District","West","Karongi District","Health Post","Public","-2.15525 29.312278"
"Musebeya CS","106","1/1/2011","Musebeya","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Public","-2.425 29.4462"
"Musenda HP","1747","1/1/2017","Gatebe","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.557951 29.977127"
"Musenyi (gicumbi) CS","347","1/1/2011","Mutete","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Center","Public","-1.705 30.0989"
"Musenyi (Nyagatare) FOSACOM","641","1/1/1900","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Community-owned health facility","Public",""
"Musenyi (Nyagatare) FOSACOM","641","1/1/1900","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Community-owned health facility","Private",""
"MUSENYI HP","1995","1/1/2017","Kaduha","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.339787 29.4866"
"Musezero HP","1948","1/1/2017","Rwaza","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.565523 29.673139"
"Musha (gisagara) CS","65","1/1/2011","Musha","Gakoma Sub District","Gisagara District","South","Gisagara District","Health Center","Public","-2.5353 29.8593"
"Musha (rwamagana) CS","357","1/1/2011","Musha (Rwamagana  District)","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.931 30.3321"
"Mushaka CS","246","1/1/2011","Rwimbogo","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.6377 28.9531"
"Mushikiri CS","427","1/1/2011","Mushikiri","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public","-2.190746 30.674014"
"MUSHIRARUNGU HP","2039","1/1/2017","Rwabicuma","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.35739 29.719583"
"Mushishiro CS","135","1/1/2011","Mushishiro","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Agree","-2.0028 29.6845"
"Mushishiro Poste secondaire","1933","1/1/2017","Mushishiro","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post level 2","Public","-2.001375 29.701576"
"Mushongi CS","518","3/1/2015","BASE","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.65302 29.91302"
"Mushubati CS","192","1/1/2011","Mushubati","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-2.0127 29.3999"
"Mushubi CS","107","1/1/2011","Mushubi","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Public","-2.348 29.4448"
"Musongati HP","1934","1/1/2017","Nyarusange","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Post","Public","-2.065732 29.646055"
"Mutaho (nyabihu) PS","638","1/1/2011","Rambura","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Agree","-1.681114 29.469489"
"Mutake DISP","1511","1/1/1900","KAVUMU","Kabaya Sub District","Ngororero District","West","Ngororero District","Dispensary","Private",""
"Mutego HP","1776","1/1/2017","Mugunga","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.718098 29.660294"
"Mutenderi CS","438","1/1/2011","Mutenderi","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Public","-2.2731 30.4889"
"MUTENGERI HP","1996","1/1/2017","Nkomane","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Post","Public","-2.347279 29.402563"
"MUTUNTU HP","2019","1/1/2017","Cyato","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.390799 29.23294"
"Mututu CS","1427","1/6/2014","Kibilizi","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Center","Public",""
"Muyaga HP","1840","1/1/2017","Mamba","Gakoma Sub District","Gisagara District","South","Gisagara District","Health Post","Public","-2.527645 29.895229"
"Muyange (KAGARAMA) HP","1905","1/1/2017","Kagarama","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Post","Public","-1.996699 30.11659"
"Muyange (KAYUMBU) HP","1872","1/1/2017","Kayumbu","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-1.922306 29.800907"
"Muyange CS","265","1/1/2011","Nyabitekeri","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Agree","-2.3335 29.0223"
"Muyanza CS","277","1/1/2011","BUYOGA","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Center","Agree","-1.6984 30.0286"
"Muyanza Post Secondaire","1649","11/3/2015","BUYOGA","Kinihira Sub District","Rulindo District","North","Rulindo District","Health Post level 2","",""
"Muyongwe CS","1534","1/1/1900","Muyongwe","Ruli Sub District","Gakenke District","North","Gakenke District","Health Center","Public",""
"Muyumbu CS","358","1/1/2011","Muyumbu","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-1.9742 30.2573"
"Muyunzwe CS","124","1/1/2011","Kinihira (Ruhango)","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Center","Agree","-2.1677 29.6612"
